nom,iata,icao
Szczecin - Dąbie Airstrip,,EPSD
Cairns Airport,CNS,YBCS
Land's End Airport,LEQ,EGHC
Mason Jewett Field,,KTEW
Cornwall Airport Newquay,NQY,EGHQ
Boryspil International Airport,KBP,UKBB
Tan Son Nhat International Airport,SGN,VVTS
Ovda Airport,VDA,LLOV
Calicut International Airport,CCJ,VOCL
Montpellier – Méditerranée Airport,MPL,LFMT
Qianjiang Wulingshan Airport,JIQ,ZUQJ
Bilwi Airport,PUZ,MNPC
Vladivostok International Airport,VVO,UHWW
Lihir Island Airport,LNV,AYKY
Bournemouth Airport,BOH,EGHH
Norrköping Airport,NRK,ESSP
Storuman Airport,SQO,ESUD
Dayrestan Airport,GSM,OIKQ
Oryol Yuzhny Airport,OEL,UUOR
McCall Municipal Airport,MYL,KMYL
Liege Airport,LGG,EBLG
Boardman Airport,,
Bengbu Airport,BFU,ZSBB
Campo Grande International Airport,CGR,SBCG
Gondar Airport,GDQ
Novi Sad Airport,QND,LYNS
Dera Ghazi Khan International Airport,DEA,OPDG
Guillermo León Valencia Airport,PPN,SKPP
Beauvais-Tillé Airport,BVA,LFOB
Bordeaux–Mérignac Airport,BOD,LFBD
Dallas Love Field,DAL,KDAL
Minangkabau International Airport,PDG,WIPT
Dublin Airport,DUB,EIDW
Graz Airport,GRZ,LOWG
Manchester–Boston Regional Airport,MHT,KMHT
Afonso Pena International Airport,CWB,SBCT
Lumbala Airport,GGC,FNBL
Sumbe Airport,NDD,FNSU
Pointe Vele Airport,FUT,NLWF
Hihifo Airport,WLS,NLWW
Vadsø Airport,VDS,ENVD
Johan Adolf Pengel International Airport,PBM,SMJP
Sabadell Airport,QSA,LELL
Sheremetyevo International Airport,SVO,UUEE
Nalchik Airport,NAL,URMN
Bamfield Water Aerodrome,YBF,
Norwich International Airport,NWI,EGSH
Vanderhoof Water Aerodrome,,
La Crosse Regional Airport,LSE,KLSE
San Carlos de Bariloche Airport,BRC,SAZS
Joensuu Airport,JOE,EFJO
Vágar Airport,FAE,EKVG
Mohéli Bandar Es Eslam Airport,NWA,FMCI
Dawson Creek Airport,YDQ,CYDQ
Shreveport Downtown Airport,DTN,KDTN
Khabarovsk Novy Airport,KHV,UHHH
Rosetown Airport,,CJX4
Smederevska Palanka Airport,SPL,LYSP
Portimão Airport,PRM,LPPM
Sokcho Airport,,RKND
Phoenix–Mesa Gateway Airport,AZA,KIWA
Zhoushan Putuoshan Airport
Kuala Lumpur International Airport,KUL,WMKK
Budapest Ferenc Liszt International Airport,BUD,LHBP
Chennai International Airport,MAA,VOMM
Kempegowda International Airport,BLR,VOBL
Birao Airport,IRO,FEFI
Bluffton Airport,,
Block Island State Airport,BID,KBID
Bob Sikes Airport,CEW,KCEW
Nakhchivan Airport,NAJ,UBBN
Berkeley County Airport,,KMKS
Beverly Municipal Airport,BVY,KBVY
Benson Municipal Airport,BBB,KBBB
Bethel Regional Airport,,
Big Sandy Airport,,
Bentonville Municipal Airport,VBT,KVBT
Big Mountain Air Force Station,BMX,PABM
Bermuda Dunes Airport,UDD,KUDD
Bessemer Airport,,KEKY
Big Lake Airport,BGQ,PAGQ
Big Bear City Airport,RBF,
Bert Mooney Airport,BTM,KBTM
Benguera Island Airport,BCW,
Biała Podlaska Airport,BXP,EPBP
Bhamo Airport,BMO,VYBM
Jomo Kenyatta International Airport,NBO
Oslo Airport,OSL,ENGM
Macau International Airport,MFM,VMMC
Miskolc Airport,MCQ,LHMC
Salt Lake City International Airport,SLC,KSLC
Frank País Airport
Athens International Airport,ATH,LGAV
O'Hare International Airport,ORD,KORD
Lucky Lake Airport,,
Asahikawa Airport,AKJ,RJEC
Whale Cove Airport,YXN,CYXN
Chengdu Shuangliu International Airport,CTU,ZUUU
Bismarck Municipal Airport,BIS,KBIS
Recife/Guararapes–Gilberto Freyre International Airport,REC,SBRF
Bancasi Airport,BXU,RPME
Arak Airport,AJK,OIHR
Jinchang Jinchuan Airport,JIC,ZLJC
Zhangye Ganzhou Airport,YZY,ZLZY
Nzagi Airport,NZA,FNZG
N'zeto Airport,ARZ,FNZE
Camaxilo Airport,CXM,FNCX
Catumbela Airport,CBT,FNCT
Saurimo Airport,VHC,FNSA
Kapanda Airport,KNP,FNCP
Cuneo International Airport,CUF,LIMZ
Long Apung Airport,LPU,WRLP
New York Stewart International Airport,SWF,KSWF
Cherepovets Airport,CEE,ULWC
Chitato Airport,PGI,FNCH
Abumumbazi Airport,,FZFE
Nagasaki Airport,NGS,RJFU
Charlo Airport,YCL,CYCL
L'Aquila Preturo Airport,QAQ,LIAP
Keflavík Airport,KEF,BIKF
Cagliari Elmas Airport,CAG,LIEE
Xi'an Xianyang International Airport,XIY,ZLXY
Aupaluk Airport,YPJ,CYLA
Urmia Airport,OMH,OITR
Hasvik Airport
Masindi Airport,KCU
Port Lions Airport,ORI,
Córdoba Airport,ODB,LEBA
Sultan Aji Muhammad Sulaiman Airport,BPN,WALL
Saint-Brieuc – Armor Airport,SBK,LFRT
Hyland Airport,,CFT5
Nuremberg Airport,NUE,EDDN
La Porte Municipal Airport,LPO,KPPO
Ignatyevo Airport,BQS,UHBB
Saint Helena Airport
Edmonton International Airport,YEG,CYEG
Warsaw Chopin Airport,WAW,EPWA
Newark Liberty International Airport,EWR,KEWR
Wiener Neustadt East Airport,,LOAN
Tampa International Airport,TPA,KTPA
El Tari Airport,KOE,WATT
Jaipur International Airport,JAI,VIJP
Atarot Airport,JRS,OJJR
Atarot Airport,JRS,LLJR
Bisha Domestic Airport,BHH,OEBH
Bluefields Airport,BEF,MNBL
Bintulu Airport,BTU,WBGB
Bima Airport,BMU,WADB
Blida Airport,QLD,DAAB
Hollywood Burbank Airport,BUR,KBUR
Blackpool Airport,BLK,EGNH
Biju Patnaik Airport,BBI,VEBS
Binaka Airport,GNS,WIMB
Wuhan Tianhe International Airport,WUH,ZHHH
Tepoe Airstrip,KCB,SMTP
Mobaye Mbanga Airport,,FEFE
Livno Airport,,LQLV
La Gomera Airport,GMZ,GCGM
Hiroshima Airport
Bajawa Soa Airport,BJW,WATB
Ninoy Aquino International Airport,MNL,RPLL
Qualicum Beach Airport,XQU,
Prince Rupert Airport,YPR,CYPR
Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI
Niagara Central Airport,,
RAF Northolt,NHT,EGWU
Marina di Campo Airport,EBA,LIRJ
Miyako Airport,MMY,ROMY
Billy Bishop Toronto City Airport,YTZ,CYTZ
Hartsfield–Jackson Atlanta International Airport,ATL,KATL
Helsinki Airport
Northwest Arkansas Regional Airport,XNA,KXNA
Bologna Guglielmo Marconi Airport,BLQ,LIPE
Pula Airport,PUY,LDPL
General Servando Canales International Airport,MAM,MMMA
King Shaka International Airport,DUR,FALE
Moi International Airport,MBA
Mwanza Airport,MWZ
Sardar Vallabhbhai Patel International Airport,AMD,VAAH
Lisbon Airport,LIS,LPPT
Libreville International Airport,LBV,FOOL
Shanghai Hongqiao International Airport,SHA,ZSSS
Kuwait International Airport,KWI,OKBK
Turin Airport,TRN,LIMF
Van Nuys Airport,VNY,KVNY
