id,nom,iata,icao
w136,Balsas,BSS,SNBS
w137,Jequié,JEQ,SNJK
w138,Guanambi,GNM,SNGI
w139,Pinheiro,PHI,SNYE
w140,Forquilhinha/criciúma,CCM,SBCM
w141,Zumbi Dos Palmares,MCZ,SBMO
w142,Cachoeiro Do Itapemirim,CDI,SNKI
w143,Prefeito Renato Moreira,IMP,SBIZ
w144,Fonte Boa,FBA,SWOB
w145,Francisco Lacerda Júnior,CKO,SSCP
w146,Lauro Kurtz,PFB,SBPF
w147,João Correa Da Rocha,MAB,SBMA
w148,Juara Sul,JUA,SIZX
w149,Patos De Minas,POJ,SNPD
w150,Vila Rica,VLP,SWVC
w151,Senador Petrônio Portella,THE,SBTE
w152,Plácido De Castro,RBR,SBRB
w153,Pelotas,PET,SBPK
w154,Orlando Bezerra De Menezes,JDO,SBJU
w155,Estadual Dario Guarita,ARU,SBAU
w156,Itacoatiara,ITA,SBIC
w157,མངའ་རིས་དགུན་ས་གནམ་གྲུ་ཐང༌།,NGQ,ZUAL
w158,阿里昆莎机场,NGQ,ZUAL
w159,Fazenda Bela Vista,AAI,SWRA
w160,Arraias,AAI,SWRA
w161,São Gabriel Da Cachoeira,SJL,SBUA
w162,Blumenau,BNU,SSBL
w163,Januária,JNA,SNJN
w164,Valença,VAL,SNVB
w165,Fernando De Noronha,FEN,SBFN
w166,Altamira,ATM,SBHT
w167,Marcelo Pires Halzhausen,AIF,SNAX
w168,Edu Chaves,PVI,SSPI
w169,Nanuque,NNU,SNNU
w170,Mário Ribeiro,MOC,SBMK
w171,Redenção,RDC,SNDC
w172,Jataí,JTI,SWJW
w173,Manicoré,MNX,SBMY
w174,Los Angeles International Airport,LAX,KLAX
w175,Mucuri,MVS,SNMU
w176,Adams Field,LIT,KLIT
w177,Bill and Hillary Clinton National Airport,LIT,KLIT
w178,Barra Do Corda,BDC,SNBC
w179,Almeirim,GGF,SNYA
w180,Guajará-mirim,GJM,SBGM
w181,Congonhas,CGH,SBSP
w182,Aerodrómo Estadual De Campinas / Amarais,CPQ,SDAM
w183,Tancredo Thomas De Faria,GPB,SBGU
w184,Tucuruí,TUR,SBTU
w185,Alto Parnaíba,APY,SNAI
w186,Alberto Alcolumbre,MCP,SBMQ
w187,Mário Pereira Lopes,QSC,SDSC
w188,Santa Terezinha,JCB,SSJA
w189,Ipiranga,IPG,SWII
w190,Telêmaco Borba (sbtl*),TEC,SBTL
w191,Regional Da Zona Da Mata,IZA,SBZM
w192,Aeroporto Municipal Bom Futuro,LVR,SILC
w193,Serafin Enoss Bertaso,XAP,SBCH
w194,Francisco De Assis,JDF,SBJF
w195,Maués,MBZ,SWMW
w196,Ourinhos,OUS,SDOU
w197,São Félix Do Araguaia,SXO,SWFX
w198,Presidente João Suassuna,CPV,SBKG
w199,Hugo Werner,QMF,SSMF
w200,Porto Nacional,PNB,SBPN
w201,Viracopos,VCP,SBKP
w202,Afonso Pena,CWB,SBCT
w203,Sorocaba,SOD,SDCO
w204,Guararapes - Gilberto Freyre,REC,SBRF
w205,São Lourenço,SSO,SNLO
w206,Международный аэропорт Нижний Новгород,GOJ,UWGG
w207,Conceição Do Araguaia,CDJ,SBAA
w208,Santa Izabel Do Rio Negro,IRZ,SWTP
w209,Международный аэропорт «Курумоч»,KUF,UWWW
w210,Frank Miloye Milenkovich,MII,SBML
w211,Mario De Almeida Franco,UBA,SBUR
w212,Bartolomeu De Gusmão,AQA,SBAQ
w213,Novo Progresso,NPR,SJNP
w214,Regional Hugo Cantergiani,CXJ,SBCX
w215,Tancredo Neves,CNF,SBCF
w216,ঈশ্বরদী বিমানবন্দর,IRD,VGIS
w217,Juruena,JRN,SWJU
w218,Fazenda Mundo Novo,JRN,SWJU
w219,Pista Aldeia Kedjêrêkrã,PDR,SJKE
w220,Santa Maria,AJU,SBAR
w221,Santa Maria,AJU,SISG
w222,Aeroclube de Sergipe,AJU,SBAR
w223,Aeroclube de Sergipe,AJU,SISG
w224,Comandante Gustavo Kraemer,BGX,SBBG
w225,Barcelos,BAZ,SWBC
w226,Porto Seguro,BPS,SBPS
w227,Franca,FRC,SIMK
w228,Tenente Lund Pressoto,FRC,SIMK
w229,Leite Lopes,RAO,SBRP
w230,Eurico de Aguiar Salles,VIX,SBVT
w231,Orlando De Carvalho,UMU,SSUM
w232,Lages,LAJ,SBLJ
w233,Gastão Madeira,UBT,SDUB
w234,Canarana,CQA,SWEK
w235,Governador José Richa,LDB,SBLO
w236,Aeroporto Estadual De Jundiaí,QDV,SBJD
w237,Lauro Carneiro De Loyola,JOI,SBJV
w238,Guarapari,GUZ,SNGA
w239,Аэропорт Ульяновск-Баратаевка,ULV,UWLL
w240,Senador Nilo Coelho,PNZ,SBPL
w241,Arapongas,APX,SSOG
w242,Juína,JIA,SWJN
w243,Governador Valadares,GVR,SBGV
w244,Coronel Altino Machado,GVR,SBGV
w245,Monte Dourado,MEU,SBMD
w246,Pedro Otacílio Figueiredo,VDC,SBQV
w247,Brigadeiro Antônio Cabral,DIQ,SNDV
w248,Oriximiná,ORX,SNOX
w249,Avaré-arandu,QVP,SDRR
w250,Ten Cel Aviador César Bombonato,UDI,SBUL
w251,Major Brigadeiro Trompowsky,VAG,SBVG
w252,Niquelândia,NQL,SWNQ
w253,Walter Bündchen,HRZ,SSHZ
w254,Santa Vitória Do Palmar,CTQ,SSVP
w255,Domingos Pignatari,VOT,SDVG
w256,Resende,REZ,SDRS
w257,Ijuí,IJU,SSIJ
w258,São Lourenço Do Sul,SQY,SSRU
w259,Picos,PCS,SNPC
