id,nom,iata,icao
m273,Marseille lufthavn (MRS), MRS,LFML
m274,Gafsa (Gafsa) (GAF),GAF,DTTF
m275,Tontouta (Noumea) (NOU),NOU,NWWW
m276,Guayaquil Jose Joaquin de Olmedo International,GYE,SEGY
m277,Montgomery County (Gaithersburg) (GAI),GAI,KGAI
m278,Noumea La Tontouta International,NOU,NWWW
m279,Blonduos (Blonduos) (BLO),BLO,BIBL
m280,Djibouti Ambouli International,JIB,HDAM
m281,Mustique (Mustique Island) (MQS),MQS,TVSM
m282,Dobo Airport (Dobo) (DOB),DOB,WAPD
m283,Karlovy Vary (Karlovy Vary) (KLV),KLV,LKKV
m284,Andamooka (Andamooka) (ADO),ADO,YAMK
m285,Guang Yuan (Guang Yuan) (GYS),GYS,ZUGU
m286,Changhai (Changhai) (CNI),CNI,ZYCH
m287,"Penang, Lentoasema (PEN)", PEN,WMKP
m288,Klanten Arpt (Gol) (GLL),GLL,ENUK
m289,Babelthuap/Koror (Koror) (ROR),ROR,PTRO
m290,Playa Samara (Playa Samara) (PLD),PLD,MRSR
m291,St-Laurent du Maroni (St Laurent du Maroni) (LDX),LDX,SOOM
m292,Ciampino,CIA,LIRA
m293,Nairobi Wilson,WIL,HKNW
m294,Kilimanjaro (Kilimanjaro) (JRO),JRO,HTKJ
m295,Beer Sheba (Beer Sheba) (BEV),BEV,LLBS
m296,Beaver Creek (Beaver Creek) (YXQ),YXQ,CYXQ
m297,Balhash (Balhash) (BXH),BXH,UAAH
m298,Ofu (Ofu) (OFU),OFU,NSAS
m299,Bariloche Aeropuerto,BRC,SAZS
m300,Habi (Habi) (HBD),HBD,DIAP
m301,Kamarang (Kamarang) (KAR),KAR,SYKM
m302,Klagenfurt,KLU,LOWK
m303,Semipalatinsk (Semipalatinsk) (PLX),PLX,UASS
m304,Gassim Regional Airport (Buraidah) (ELQ),ELQ,OEGS
m305,Natitingou (Natitingou) (NAE),NAE,DBBN
m306,Nadi lidosta (NAN),NAN,NFFN
m307,Iwo Jima Airbase (Iwo Jima Vol) (IWO),IWO,RJAW
m308,Lashio airport,LSH,VYLS
m309,La Desirade (La Desirade) (DSD),DSD,TFFA
m310,Dawadmi (Dawadmi) (DWD),DWD,OEDW
m311,Forrest River Airport (Forrest River) (FVR),FVR,LIRV
m312,Kzyl-Orda (Kzyl-Orda) (KZO),KZO,UAOO
m313,Mwanza,MWZ,HTMW
m314,Aeropuerto de Beauvais,BVA,LFOB
m315,"Cyril E King Airport (Charlotte Amalie, St Thomas) (STT)",STT,TIST
m316, Gorno-Altaysk,RGK,UNBG
m317,Kodiak,ADQ,PADQ
m318,Tozeur (Tozeur) (TOE),TOE,DTTZ
m319,Dipolog (Dipolog) (DPL),DPL,RPMG
m320,Montilla (Montilla) (OZU),OZU,EGXU
m321,MOUNT SURPRISE,,YMSP
m322, Taganrog Yuzhny,TGK,URRT
m323,Municipal (Atlantic) (AIO),AIO,KAIO
m324,Mariscal Sucre (Quito) (UIO),UIO,SEQU
m325,Nantong (Nantong) (NTG),NTG,ZSNT
m326,Miami International,MIA,KMIA
m327,Heliport (Narsaq) (JNS),JNS,BGNS
m328,Santa Cruz Das Flores Aeropuerto (FLW), FLW,LPFL
m329,Jambol,JAM,
m330,Karonga (Karonga) (KGJ),KGJ,FWKA
m331,Guamas lidosta (GUM), GUM,PGUM
m332,Rijeka / Fiume Aeroporto (RJK), RJK,LDRI
m333,Nana (Star Habour) (NAZ),NAZ,OINZ
m334,King Khalid Military (King Khalid Mil. City) (KMC),KMC,OEKK
m335, Rostov-on-Don,ROV,URRR
m336,Mongu (Mongu) (MNR),MNR,FLMG
m337,Durban International (Durban) (DUR),DUR,FADN
m338,Arviat (Arviat) (YEK),YEK,CYEK
m339,Overberg (FAOB) (Overberg) (OVG),OVG,SBOI
m340,Sehwen Sharif (Sehwen Sharif) (SYW),SYW,SBGR
m341,San Andres Island (San Andres Island) (ADZ),ADZ,SKSP
m342,Josefa Camejo (Las Piedras) (LSP),LSP,SVJC
m343,Valladolid,VLL,LEVD
m344,Osmani International (Sylhet) (ZYL),ZYL,VGSY
m345,Borjhar (Gawahati) (GAU),GAU,VEGT
m346,Adi Sumarmo (Solo City) (SOC),SOC,WARQ
m347,Yohannes IV (Asmara) (ASM),ASM,HHAS
m348,Parakou (Parakou) (PKO),PKO,DBBP
m349,Bukhara,BHK,UTSB
m350,Thumrait (Thumrait) (TTH),TTH,OOTH
m351,Marsa Brega (Marsa Brega) (LMQ),LMQ,HLMB
m352,Cracovia Aeropuerto (KRK), KRK,EPKK
m353,Orly Airport,ORY,LFPO
m354,Arandis (Arandis) (ADI),ADI,FYAR
m355,Juba (Juba) (JUB),JUB,HSSJ
m356,Altenrhein St. Gallen,ACH,LSZR
m357,Bishkek Manas (Bishkek) (FRU),FRU,UAFM
m358, Nadym,NYM,USMM
m359,Limnos (Limnos) (LXS),LXS,LGLM
m360,Belfast International,BFS,EGAA
m361,Oban Airport (Oban) (OBN),OBN,EGEO
m362,Santo Antao (Santo Antao) (NTO),NTO,GVAN
m363,Nuernberg Airport,(NUE),EDDN
m364,Chiang Mai International (Chiang Mai) (CNX),CNX,VTCC
m365,Axum flygplats,AXU,HAAX
m366,"Ngurah Rai International (Denpasar, Bali) (DPS)",DPS,WADD
m367,Naples International Airport,NAP,LIRN
m368,Toulouse-Blagnac flygplats (TLS), TLS,LFBO
m369,Yotvata (Yotvata) (YOT),YOT,LLYT
